Year,Sales,Holiday,Expense_Price,Country0,Country1,Country2,Country3,Country4,Country5,Product_ID0,Product_ID1,Product_ID2,Product_ID3,Product_ID4,sin_month,cos_month
0.0,7.5358764943471295,0.25,4.1688010594340765,1,0,0,0,0,0,1,0,0,0,0,0.49999999999999994,0.8660254037844387
0.0,6.439625148735284,0.25,3.1239737487138175,1,0,0,0,0,0,0,1,0,0,0,0.49999999999999994,0.8660254037844387
0.0,5.498105256322801,0.25,2.3989637361255207,0,1,0,0,0,0,0,1,0,0,0,0.49999999999999994,0.8660254037844387
0.0,6.897336380638229,0.5,3.277407948384469,0,0,1,0,0,0,1,0,0,0,0,0.49999999999999994,0.8660254037844387
0.0,6.761196520304676,0.5,3.1576761266404434,0,0,1,0,0,0,0,1,0,0,0,0.49999999999999994,0.8660254037844387
0.0,8.00795091933782,0.25,4.641919143321201,0,0,0,1,0,0,0,1,0,0,0,0.49999999999999994,0.8660254037844387
0.0,5.222478636308707,0.25,2.2659539982347496,0,0,0,0,1,0,0,0,0,1,0,0.49999999999999994,0.8660254037844387
0.0,5.6649911695827875,0.25,2.5203092559496145,0,0,0,0,1,0,0,0,0,0,1,0.49999999999999994,0.8660254037844387
0.0,7.481540656765738,0.5,2.8759971721829705,0,0,0,0,0,1,0,0,0,1,0,0.49999999999999994,0.8660254037844387
0.0,7.8062556364202,0.25,4.08595261333611,1,0,0,0,0,0,1,0,0,0,0,0.8660254037844386,0.5000000000000001
0.0,6.748856576933989,0.25,3.1192578693394486,1,0,0,0,0,0,0,1,0,0,0,0.8660254037844386,0.5000000000000001
0.0,5.638675434529544,0.0,2.4918377557958835,0,1,0,0,0,0,0,1,0,0,0,0.8660254037844386,0.5000000000000001
0.0,6.610028934422885,0.0,3.2964337242071844,0,0,1,0,0,0,1,0,0,0,0,0.8660254037844386,0.5000000000000001
0.0,6.394769940565512,0.0,3.0975474367336067,0,0,1,0,0,0,0,1,0,0,0,0.8660254037844386,0.5000000000000001
0.0,7.926639828222494,0.0,4.576713854240224,0,0,0,1,0,0,0,1,0,0,0,0.8660254037844386,0.5000000000000001
0.0,5.148251561037864,0.0,2.2331002269971414,0,0,0,0,1,0,0,0,0,1,0,0.8660254037844386,0.5000000000000001
0.0,5.617977096842132,0.0,2.4889284447890696,0,0,0,0,1,0,0,0,0,0,1,0.8660254037844386,0.5000000000000001
0.0,7.218136557777059,0.0,2.908554178789103,0,0,0,0,0,1,0,0,0,1,0,0.8660254037844386,0.5000000000000001
0.0,8.11434472547612,0.75,4.116527352225408,1,0,0,0,0,0,1,0,0,0,0,1.0,6.123233995736766e-17
0.0,7.012500660304665,0.75,3.0768788215614014,1,0,0,0,0,0,0,1,0,0,0,1.0,6.123233995736766e-17
0.0,5.429259730425022,0.25,2.3572943620274587,0,1,0,0,0,0,0,1,0,0,0,1.0,6.123233995736766e-17
0.0,7.09927549986399,0.75,3.308397919884313,0,0,1,0,0,0,1,0,0,0,0,1.0,6.123233995736766e-17
0.0,6.927630786682184,0.75,3.1488912660134596,0,0,1,0,0,0,0,1,0,0,0,1.0,6.123233995736766e-17
0.0,8.427272224456322,0.75,4.6050423532544205,0,0,0,1,0,0,0,1,0,0,0,1.0,6.123233995736766e-17
0.0,5.202264573255602,0.25,2.258608552260088,0,0,0,0,1,0,0,0,0,1,0,1.0,6.123233995736766e-17
0.0,5.643338698710948,0.25,2.5049558595966728,0,0,0,0,1,0,0,0,0,0,1,1.0,6.123233995736766e-17
0.0,7.751542107300217,0.5,3.117754055529602,0,0,0,0,0,1,0,0,0,1,0,1.0,6.123233995736766e-17
0.0,7.551312136393065,0.25,4.157704490125692,1,0,0,0,0,0,1,0,0,0,0,0.8660254037844387,-0.4999999999999998
0.0,6.536083289297193,0.25,3.22001206171696,1,0,0,0,0,0,0,1,0,0,0,0.8660254037844387,-0.4999999999999998
0.0,5.664229481976202,0.25,2.5034679054832267,0,1,0,0,0,0,0,1,0,0,0,0.8660254037844387,-0.4999999999999998
0.0,6.626269322075415,0.0,3.306045041351039,0,0,1,0,0,0,1,0,0,0,0,0.8660254037844387,-0.4999999999999998
0.0,6.498235018585307,0.0,3.193099820590675,0,0,1,0,0,0,0,1,0,0,0,0.8660254037844387,-0.4999999999999998
0.0,8.297394518456498,0.5,4.655876118177385,0,0,0,1,0,0,0,1,0,0,0,0.8660254037844387,-0.4999999999999998
0.0,5.253572901891039,0.25,2.2788473070204747,0,0,0,0,1,0,0,0,0,1,0,0.8660254037844387,-0.4999999999999998
0.0,5.704106776204764,0.25,2.5478792679578808,0,0,0,0,1,0,0,0,0,0,1,0.8660254037844387,-0.4999999999999998
0.0,7.352619808075667,0.25,3.028008501292626,0,0,0,0,0,1,0,0,0,1,0,0.8660254037844387,-0.4999999999999998
0.0,7.889739704307195,0.5,4.194621473140372,1,0,0,0,0,0,1,0,0,0,0,0.49999999999999994,-0.8660254037844387
0.0,6.877655714483266,0.5,3.2647170266700654,1,0,0,0,0,0,0,1,0,0,0,0.49999999999999994,-0.8660254037844387
0.0,6.269379842918964,1.0,2.5017464653326504,0,1,0,0,0,0,0,1,0,0,0,0.49999999999999994,-0.8660254037844387
0.0,6.9496075502770855,0.5,3.325331521234669,0,0,1,0,0,0,1,0,0,0,0,0.49999999999999994,-0.8660254037844387
0.0,6.831131629607422,0.5,3.222420425884526,0,0,1,0,0,0,0,1,0,0,0,0.49999999999999994,-0.8660254037844387
0.0,8.50259986220101,0.75,4.664248667005313,0,0,0,1,0,0,0,1,0,0,0,0.49999999999999994,-0.8660254037844387
0.0,5.5459059308476055,0.5,2.275836337596788,0,0,0,0,1,0,0,0,0,1,0,0.49999999999999994,-0.8660254037844387
0.0,5.992178599231235,0.5,2.538837547879558,0,0,0,0,1,0,0,0,0,0,1,0.49999999999999994,-0.8660254037844387
0.0,7.994874926019701,0.75,3.1802239675944532,0,0,0,0,0,1,0,0,0,1,0,0.49999999999999994,-0.8660254037844387
0.0,7.859698380101295,0.5,4.06891075094614,1,0,0,0,0,0,1,0,0,0,0,1.2246467991473532e-16,-1.0
0.0,6.870737848813959,0.5,3.195930356220349,1,0,0,0,0,0,0,1,0,0,0,1.2246467991473532e-16,-1.0
0.0,5.606237669416296,0.0,2.4633449248423283,0,1,0,0,0,0,0,1,0,0,0,1.2246467991473532e-16,-1.0
0.0,6.889183856542051,0.5,3.2735255831776757,0,0,1,0,0,0,1,0,0,0,0,1.2246467991473532e-16,-1.0
0.0,6.8118476438059306,0.5,3.204735701279936,0,0,1,0,0,0,0,1,0,0,0,1.2246467991473532e-16,-1.0
0.0,7.940463979390852,0.0,4.557460437541686,0,0,0,1,0,0,0,1,0,0,0,1.2246467991473532e-16,-1.0
0.0,5.344151851683094,0.0,2.3199800171649563,0,0,0,0,1,0,0,0,0,1,0,1.2246467991473532e-16,-1.0
0.0,5.742104911937901,0.0,2.5737578656942417,0,0,0,0,1,0,0,0,0,0,1,1.2246467991473532e-16,-1.0
0.0,7.583333340865126,0.5,2.965068051392022,0,0,0,0,0,1,0,0,0,1,0,1.2246467991473532e-16,-1.0
0.0,7.569769113314047,0.25,4.150630215235576,1,0,0,0,0,0,1,0,0,0,0,-0.4999999999999997,-0.8660254037844388
0.0,6.578816420959879,0.25,3.2586243542504856,1,0,0,0,0,0,0,1,0,0,0,-0.4999999999999997,-0.8660254037844388
0.0,5.825597192199991,0.25,2.6348016103252467,0,1,0,0,0,0,0,1,0,0,0,-0.4999999999999997,-0.8660254037844388
0.0,6.624732509251376,0.25,3.2865168715524473,0,0,1,0,0,0,1,0,0,0,0,-0.4999999999999997,-0.8660254037844388
0.0,6.61551725563835,0.25,3.3019893774648565,0,0,1,0,0,0,0,1,0,0,0,-0.4999999999999997,-0.8660254037844388
0.0,8.066553827100696,0.0,4.669021720431795,0,0,0,1,0,0,0,1,0,0,0,-0.4999999999999997,-0.8660254037844388
0.0,5.151046537601793,0.0,2.23515711792261,0,0,0,0,1,0,0,0,0,1,0,-0.4999999999999997,-0.8660254037844388
0.0,5.672828539386756,0.0,2.5261388869846493,0,0,0,0,1,0,0,0,0,0,1,-0.4999999999999997,-0.8660254037844388
0.0,7.43425094094705,0.0,3.1026216534555147,0,0,0,0,0,1,0,0,0,1,0,-0.4999999999999997,-0.8660254037844388
0.0,7.5479161786835265,0.25,4.108591777342977,1,0,0,0,0,0,1,0,0,0,0,-0.8660254037844385,-0.5000000000000004
0.0,6.56803109733322,0.25,3.246613786499081,1,0,0,0,0,0,0,1,0,0,0,-0.8660254037844385,-0.5000000000000004
0.0,5.679469416087261,0.25,2.5132735485137907,0,1,0,0,0,0,0,1,0,0,0,-0.8660254037844385,-0.5000000000000004
0.0,6.767635093868028,0.5,3.174538634764605,0,0,1,0,0,0,1,0,0,0,0,-0.8660254037844385,-0.5000000000000004
0.0,6.810931196695074,0.5,3.2042497087555213,0,0,1,0,0,0,0,1,0,0,0,-0.8660254037844385,-0.5000000000000004
0.0,7.965576158720384,0.0,4.606865956492767,0,0,0,1,0,0,0,1,0,0,0,-0.8660254037844385,-0.5000000000000004
0.0,5.147387058898248,0.25,2.2337370802043495,0,0,0,0,1,0,0,0,0,1,0,-0.8660254037844385,-0.5000000000000004
0.0,5.6163973443501884,0.25,2.487453725679703,0,0,0,0,1,0,0,0,0,0,1,-0.8660254037844385,-0.5000000000000004
