Year,Month,Country,Product_ID,Sales,Holiday,Expense_Price
2013,1,Argentina,1,34346025.0,1,14749.307000000019
2013,1,Argentina,2,2751851.480000002,1,1329.374
2013,1,Belgium,2,314850.12999999995,1,249.5900000000001
2013,1,Columbia,1,7894712.619999952,2,1893.1219999999778
2013,1,Columbia,2,5770274.12,2,1436.7260000000172
2013,1,Denmark,2,101847627.10999991,1,43843.90599999992
2013,1,England,4,166907.57,1,183.482
2013,1,England,5,462370.61999999994,1,330.3669999999991
2013,1,Finland,4,30306839.040000044,2,750.6180000000026
2013,2,Argentina,1,64011150.0,1,12187.566000000077
2013,2,Argentina,2,5608626.240000003,1,1315.0059999999962
2013,2,Belgium,2,435185.5199999999,0,309.3400000000001
2013,2,Columbia,1,4074073.199999993,0,1977.944999999979
2013,2,Columbia,2,2481817.06,0,1250.8360000000062
2013,2,Denmark,2,84457811.38999997,0,37731.3499999998
2013,2,England,4,140685.22000000006,0,170.04099999999997
2013,2,England,5,414931.1600000001,0,307.268
2013,2,Finland,4,16524812.159999995,0,809.1289999999949
2013,3,Argentina,1,130120200.0,3,13076.578999999927
2013,3,Argentina,2,10292019.920000019,3,1192.6550000000107
2013,3,Belgium,2,268694.08999999997,1,226.664
2013,3,Columbia,1,12568268.940000044,3,2033.220000000053
2013,3,Columbia,2,8465073.54,3,1407.9359999999883
2013,3,Denmark,2,267468241.76999956,3,40274.63100000024
2013,3,England,4,159316.9,1,180.38800000000006
2013,3,England,5,439883.54000000004,1,318.8570000000005
2013,3,Finland,4,56434164.48,2,1310.4570000000142
2013,4,Argentina,1,35588700.0,1,14377.199000000017
2013,4,Argentina,2,3436237.420000002,1,1658.6330000000014
2013,4,Belgium,2,461560.39999999985,1,317.76300000000026
2013,4,Columbia,1,4229307.07999999,0,2022.2290000000235
2013,4,Columbia,2,3149451.1799999997,0,1558.9110000000076
2013,4,Denmark,2,198332787.71999943,2,45275.84099999911
2013,4,England,4,179295.94999999998,1,189.04099999999985
2013,4,England,5,505948.0400000002,1,352.0849999999993
2013,4,Finland,4,22522665.59999999,1,1065.6170000000009
2013,5,Argentina,1,77578200.0,2,15652.860999999935
2013,5,Argentina,2,7544937.680000012,2,1838.572999999993
2013,5,Belgium,2,1859429.0399999993,4,316.50200000000035
2013,5,Columbia,1,8904458.23999998,2,2114.1029999999673
2013,5,Columbia,2,6778468.24,2,1667.8619999999828
2013,5,Denmark,2,318126509.8199999,3,46157.1789999999
2013,5,England,4,351483.30000000005,2,187.72799999999947
2013,5,England,5,982150.7600000006,2,344.8099999999988
2013,5,Finland,4,98826842.87999994,3,1513.3419999999724
2013,6,Argentina,1,72393300.0,2,11718.544999999956
2013,6,Argentina,2,7425706.680000007,2,1569.111000000003
2013,6,Belgium,2,403865.34999999974,0,289.63299999999987
2013,6,Columbia,1,7747896.319999949,2,1876.2649999999617
2013,6,Columbia,2,6484068.24,2,1601.270000000013
2013,6,Denmark,2,87189457.28999998,0,36095.11299999991
2013,6,England,4,220876.68999999994,0,207.92000000000004
2013,6,England,5,552209.82,0,373.76400000000035
2013,6,Finland,4,38311868.16000005,2,921.7160000000027
2013,7,Argentina,1,37133775.0,1,14144.888000000023
2013,7,Argentina,2,3791545.8000000017,1,1812.9459999999985
2013,7,Belgium,2,669262.5799999996,1,430.32200000000006
2013,7,Columbia,1,4214367.519999993,1,1933.2689999999786
2013,7,Columbia,2,4125885.3000000003,1,2003.42299999999
2013,7,Denmark,2,116561149.94999993,0,46667.27199999991
2013,7,England,4,141593.54999999993,0,170.85299999999987
2013,7,England,5,470790.42000000004,0,334.8450000000006
2013,7,Finland,4,27180092.160000026,0,1265.5480000000055
2013,8,Argentina,1,35311500.0,1,12839.790999999981
